14:50:29: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup_worker.py | countup_worker | 40] Logger initialized
14:50:29: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:29: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:29: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:29: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:29: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:30: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:30: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:30: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:30: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:30: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:30: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:31: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:35: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:35: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:35: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:35: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:35: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:36: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:36: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:36: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:36: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:36: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

14:50:37: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/documentation/multiprocess_example/countup/countup.py | run_countup | 32] Run

