19:07:07: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 45] Logger initialized

19:07:07: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | __init__ | 30] HeartbeatSender initialized

19:07:07: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 58] HeartbeatSender worker started.

19:07:07: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:08: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:09: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:10: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:11: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:12: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:13: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:14: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:15: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:16: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:17: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

19:07:18: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 71] HeartbeatSender worker stopped.

