05:22:18: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized


05:22:18: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 132] Connected!

05:22:18: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE ALTITUDE: 1m

05:22:18: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE ALTITUDE: -1m

05:22:21: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 63.434948822922024

05:22:22: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 90.0

05:22:22: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 116.56505117707798

05:22:23: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 45.0

05:22:23: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 63.434948822921996

05:22:24: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 90.0

05:22:24: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 26.565051177077976

05:22:25: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 45.0

05:22:25: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 90.0

05:22:26: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 45.0

05:22:26: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 90.0

05:22:27: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 135.0

05:22:27: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -26.565051177077976

05:22:28: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -45.0

05:22:28: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -90.0

05:22:29: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -45.0

05:22:29: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -90.0

05:22:30: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -135.0

05:22:30: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -63.434948822921996

05:22:31: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -90.0

05:22:31: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -116.56505117707798

05:22:32: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -45.0

05:22:32: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -63.43494882292201

05:22:33: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -90.0

