19:24:36: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 50] Logger initialized

19:24:36: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | create | 46] Command initialized

19:24:36: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 4.0

19:24:37: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 1.0

19:24:37: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.6666666666666666

19:24:38: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.5

19:24:38: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.4

19:24:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.3333333333333333

19:24:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 0.0, 0.2857142857142857

19:24:40: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 2.5, 0.25

19:24:40: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 4.444444444444445, 0.2222222222222222

19:24:41: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 0.0, 6.0, 0.2

19:24:41: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 82] Average Velocity: 1.8181818181818181, 5.454545454545454, 0.18181818181818182

