19:24:36: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized


19:24:36: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 131] Connected!

19:24:36: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE ALTITUDE: 1m

19:24:37: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE ALTITUDE: -1m

19:24:40: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 63.434948822922024

19:24:40: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 90.0

19:24:41: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 116.56505117707798

19:24:41: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 45.0

19:24:42: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 63.434948822921996

19:24:42: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 90.0

19:24:43: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 26.565051177077976

19:24:43: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 45.0

19:24:44: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 90.0

19:24:44: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 45.0

19:24:45: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 90.0

19:24:45: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: 135.0

19:24:46: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -26.565051177077976

19:24:46: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -45.0

19:24:47: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -90.0

19:24:47: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -45.0

19:24:48: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -90.0

19:24:48: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -135.0

19:24:49: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -63.434948822921996

19:24:49: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -90.0

19:24:50: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -116.56505117707798

19:24:51: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -45.0

19:24:51: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -63.43494882292201

19:24:52: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE YAW: -90.0

