22:48:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | main | 42] Logger initialized

22:48:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:40: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:41: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:42: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:43: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:52: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:53: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:54: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:55: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:56: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:58: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | send_heartbeats | 60] Drone: Sent a heartbeat

22:48:59: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/heartbeat_receiver_drone.py | main | 81] Passed!

