22:48:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 50] Logger initialized

22:48:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | __init__ | 34] HeartbeatReceiver initialized

22:48:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 65] HeartbeatReceiver worker started.

22:48:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 72] Received heartbeat!

22:48:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 81] STATUS: CONNECTED

22:48:40: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 72] Received heartbeat!

22:48:40: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 81] STATUS: CONNECTED

22:48:41: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 72] Received heartbeat!

22:48:41: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 81] STATUS: CONNECTED

22:48:42: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 72] Received heartbeat!

22:48:42: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 81] STATUS: CONNECTED

22:48:43: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 72] Received heartbeat!

