23:14:12: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 45] Logger initialized

23:14:12: [DEBUG] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | __init__ | 30] HeartbeatSender initialized

23:14:12: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 58] HeartbeatSender worker started.

23:14:12: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:13: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:14: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:15: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:16: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:17: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:18: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:19: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:20: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:21: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:22: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run_hb_sender | 37] Sending HEARTBEAT...

23:14:23: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 71] HeartbeatSender worker stopped.

